Region,Location,URL,Comments
East Anglia,Cambridge,http://www.chestercc.gov.uk/main.asp?page=617,"3 routes (2 of which serve CPs on both sides of City), plus 1 to Addenbrookes Hospital.  "
East Anglia,Ipswich,http://www.chestercc.gov.uk/main.asp?page=617,3 sites
East Anglia,Norwich,http://www.chestercc.gov.uk/main.asp?page=617,5 sites
East Anglia,Peterborough,http://www.chestercc.gov.uk/main.asp?page=617,Saturdays before Christmas only 
East Midlands,Leicester,http://www.chestercc.gov.uk/main.asp?page=617,1 site
East Midlands,Nottingham,http://www.chestercc.gov.uk/main.asp?page=617,5 tram & 2 bus sites to City centre also from 1 bus site to QMC
London,Kingston,http://www.chestercc.gov.uk/main.asp?page=617,1 site (seasonal: early November to mid-January only)
North East,Durham,http://www.chestercc.gov.uk/main.asp?page=617,1 sat only 2 under development for 2005
North East,Newcastle,http://www.chestercc.gov.uk/main.asp?page=617,Metro based at 3 stations also buses for Saturday shoppers (1 site)
North West,Chester,http://www.chestercc.gov.uk/main.asp?page=617,4 sites
North West,Manchester,http://www.chestercc.gov.uk/main.asp?page=617,1 tram site also mention of Horwich parkway and 4 sites being developed on Bury Metrolink line.
North West,Preston,http://www.chestercc.gov.uk/main.asp?page=617,2 sites
North West,Southport,http://www.chestercc.gov.uk/main.asp?page=617,2 sites plus 8 rail stations with smaller car parks
North West,Stoke,http://www.chestercc.gov.uk/main.asp?page=617,"Little information on web site, although this is not a dedicated branded service but served by a number of services"
Scotland,Aberdeen,http://www.chestercc.gov.uk/main.asp?page=617,"1 bus site, 1 rail site"
Scotland,Edinburgh,http://www.chestercc.gov.uk/main.asp?page=617,1 site
Scotland,Edinburgh - ferrytoll on north side of Forth Road Bridge,http://www.chestercc.gov.uk/main.asp?page=617,"No dedicated service, instead passing buses call there."
Scotland,Falkirk,http://www.chestercc.gov.uk/main.asp?page=617,1 site (additional sites are available at Xmas with a separate URL - URL not working at present)
Scotland,Perth,http://www.chestercc.gov.uk/main.asp?page=617,2 sites 
Scotland,Stirling,http://www.chestercc.gov.uk/main.asp?page=617,1 site Saturday only
South East,Canterbury,http://www.chestercc.gov.uk/main.asp?page=617,3 sites
South East,Chatham and Rochester,http://www.chestercc.gov.uk/main.asp?page=617,1 site serves both 12-15 minutes
South East,Guildford,http://www.chestercc.gov.uk/main.asp?page=617,"4 sites weekdays, 2 sat only"
South East,Horsham,http://www.chestercc.gov.uk/main.asp?page=617,1 site
South East,Maidstone,http://www.chestercc.gov.uk/main.asp?page=617,4 sites
South East,Milton Keynes ,http://www.chestercc.gov.uk/main.asp?page=617,1 site
South East,Oxford,http://www.chestercc.gov.uk/main.asp?page=617,3 sites
South East,Oxford,http://www.chestercc.gov.uk/main.asp?page=617,2 sites
South East,Reading,http://www.chestercc.gov.uk/main.asp?page=617,1 site in Wokingham plus 1 other site
South East,Winchester,http://www.chestercc.gov.uk/main.asp?page=617,2 routes
South East,Windsor,http://www.chestercc.gov.uk/main.asp?page=617,1 site plus 1 from Legoland to town centre
South West,Barnstaple,http://www.chestercc.gov.uk/main.asp?page=617,1 site
South West,Basingstoke,http://www.chestercc.gov.uk/main.asp?page=617,1 site
South West,Bath,http://www.chestercc.gov.uk/main.asp?page=617,3 sites
South West,Bristol,http://www.chestercc.gov.uk/main.asp?page=617,4 sites
South West,Cheltenham,http://www.chestercc.gov.uk/main.asp?page=617,2 sites
South West,Dorchester,http://www.chestercc.gov.uk/main.asp?page=617,Wednesdays only 1 site 
South West,Exeter,http://www.chestercc.gov.uk/main.asp?page=617,"4 sites (2 operated by Stagecoach, 1 by Devon CC and 1 by Dartline to the hospital)."
South West,Gloucester,http://www.chestercc.gov.uk/main.asp?page=617,"2 sites (run by council), 1 site run by Stagecoach"
South West,Plymouth,http://www.chestercc.gov.uk/main.asp?page=617,2 sites
South West,Salisbury,http://www.chestercc.gov.uk/main.asp?page=617,1 site (5 planned)
South West,Swindon,http://www.chestercc.gov.uk/main.asp?page=617,2 sites
South West,Truro,http://www.chestercc.gov.uk/main.asp?page=617,1 site (summer only)
Wales,Aberystwyth,http://www.chestercc.gov.uk/main.asp?page=617,1 site
Wales,Millennium Stadium,http://www.chestercc.gov.uk/main.asp?page=617,Very good example of venue/event site
Wales,Swansea,http://www.chestercc.gov.uk/main.asp?page=617,2 sites
West Midlands,Coventry,http://www.chestercc.gov.uk/main.asp?page=617,2 sites
West Midlands,Kidderminster,http://www.chestercc.gov.uk/main.asp?page=617,1 site
West Midlands,Shrewsbury,http://www.chestercc.gov.uk/main.asp?page=617,3 sites
West Midlands,Solihull,http://www.chestercc.gov.uk/main.asp?page=617,1 site
West Midlands,Wolverhampton,http://www.chestercc.gov.uk/main.asp?page=617,3 tram sites
West Midlands,Worcester,http://www.chestercc.gov.uk/main.asp?page=617,1 site
Yorkshire,Doncaster,http://www.chestercc.gov.uk/main.asp?page=617,1 site 6 month trial starting 6/9/04
Yorkshire,Doncaster park and share,http://www.chestercc.gov.uk/main.asp?page=617,M18 (junction 5) car sharing
Yorkshire,Hull,http://www.chestercc.gov.uk/main.asp?page=617,4 sites
Yorkshire,Sheffield,http://www.chestercc.gov.uk/main.asp?page=617,"3 park and ride sites at tram stops, also at Meadowhall for train, bus and tram"
Yorkshire,Whitby,http://www.chestercc.gov.uk/main.asp?page=617,Busy days only
Yorkshire,York,http://www.chestercc.gov.uk/main.asp?page=617,5 sites 10-20 minutes
